10.0000            0.100000E-19
30.0000            0.100000E-19
50.0000            0.100000E-19
70.0000            0.100000E-19
90.0000            0.100000E-19
110.000            0.100000E-19
130.000            0.109084E-01
150.000            0.639560E-05
170.000            0.134654E-04
190.000            0.117923E-03
210.000            0.155517E-03
230.000            0.162539E-03
250.000            0.162044E-03
270.000            0.170638E-03
290.000            0.171799E-03
310.000            0.175630E-03
330.000            0.201221E-03
350.000            0.230843E-03
370.000            0.264758E-03
390.000            0.250328E-03
410.000            0.258328E-03
430.000            0.236182E-03
450.000            0.203110E-03
470.000            0.178231E-03
490.000            0.165157E-03
510.000            0.172849E-03
530.000            0.129137E-03
550.000            0.117955E-03
570.000            0.119847E-03
590.000            0.105282E-03
610.000            0.966546E-04
630.000            0.793883E-04
650.000            0.758528E-04
670.000            0.591123E-04
690.000            0.490304E-04
710.000            0.664040E-04
730.000            0.387702E-04
750.000            0.388267E-04
770.000            0.274382E-04
790.000            0.314592E-04
810.000            0.230138E-04
830.000            0.271051E-04
850.000            0.263711E-04
870.000            0.188687E-04
890.000            0.186288E-04
910.000            0.148896E-04
930.000            0.118335E-04
950.000            0.127789E-04
970.000            0.978594E-05
990.000            0.598831E-05
